Id,AvgSteps,AvgVeryActiveMin,AvgSedentaryMin,AvgCalories,LoggedDays,Segment,SegmentName
1503960366,12116.741935483871,38.70967741935484,848.1612903225806,1816.4193548387098,31,1,Moderately Active Users
1624580081,5743.903225806452,8.67741935483871,1257.741935483871,1483.3548387096773,31,0,Sedentary Users
1644430081,7282.966666666666,9.566666666666666,1161.8666666666666,2811.3,30,0,Sedentary Users
1844505072,2580.064516129032,0.12903225806451613,1206.6129032258063,1573.483870967742,31,0,Sedentary Users
1927972279,916.1290322580645,1.3225806451612903,1317.4193548387098,2172.8064516129034,31,0,Sedentary Users
2022484408,11370.645161290322,36.29032258064516,1112.5806451612902,2509.967741935484,31,2,Highly Active Users
2026352035,5566.870967741936,0.0967741935483871,689.4193548387096,1540.6451612903227,31,1,Moderately Active Users
2320127002,4716.870967741936,1.3548387096774193,1220.0967741935483,1724.1612903225807,31,0,Sedentary Users
2347167796,9519.666666666666,13.5,687.1666666666666,2043.4444444444443,18,1,Moderately Active Users
2873212765,7555.774193548387,14.096774193548388,1097.1935483870968,1916.967741935484,31,0,Sedentary Users
3372868164,6861.65,9.15,1077.55,1933.1,20,0,Sedentary Users
3977333714,10984.566666666668,18.9,707.5333333333333,1513.6666666666667,30,1,Moderately Active Users
4020332650,2267.2258064516127,5.193548387096774,1237.258064516129,2385.8064516129034,31,0,Sedentary Users
4057192912,3838.0,0.75,1217.25,1973.75,4,0,Sedentary Users
4319703577,7268.8387096774195,3.5806451612903225,735.8064516129032,2037.6774193548388,31,1,Moderately Active Users
4388161847,10813.935483870968,23.161290322580644,836.6774193548387,3093.8709677419356,31,2,Highly Active Users
4445114986,4796.548387096775,6.612903225806452,829.9032258064516,2186.1935483870966,31,1,Moderately Active Users
4558609924,7685.129032258064,10.387096774193548,1093.6129032258063,2033.258064516129,31,0,Sedentary Users
4702921684,8572.064516129032,5.129032258064516,766.4193548387096,2965.548387096774,31,1,Moderately Active Users
5553957443,8612.58064516129,23.419354838709676,668.3548387096774,1875.6774193548388,31,1,Moderately Active Users
5577150313,8304.433333333332,87.33333333333333,754.4333333333333,3359.633333333333,30,2,Highly Active Users
6117666160,7046.714285714285,1.5714285714285714,796.2857142857143,2261.1428571428573,28,1,Moderately Active Users
6290855005,5649.551724137931,2.7586206896551726,1193.0344827586207,2599.6206896551726,29,0,Sedentary Users
6775888955,2519.6923076923076,11.0,1299.423076923077,2131.769230769231,26,0,Sedentary Users
6962181067,9794.806451612903,22.806451612903224,662.3225806451613,1982.032258064516,31,1,Moderately Active Users
7007744171,11323.423076923076,31.03846153846154,1055.3461538461538,2544.0,26,2,Highly Active Users
7086361926,9371.774193548386,42.58064516129032,850.4516129032259,2566.3548387096776,31,2,Highly Active Users
8053475328,14763.290322580646,85.16129032258064,1148.0,2945.8064516129034,31,2,Highly Active Users
8253242879,6482.1578947368425,20.526315789473685,1287.3684210526317,1788.0,19,0,Sedentary Users
8378563200,8717.709677419354,58.67741935483871,716.1290322580645,3436.5806451612902,31,2,Highly Active Users
8583815059,7198.5161290322585,9.67741935483871,1267.225806451613,2732.032258064516,31,0,Sedentary Users
8792009665,1853.7241379310344,0.9655172413793104,1060.4827586206898,1962.3103448275863,29,0,Sedentary Users
8877689391,16040.032258064517,66.06451612903226,1112.8709677419354,3420.2580645161293,31,2,Highly Active Users
